title,abstract,research_problem,summary,research_categories,citation_forecast,nicheness,novelty,public_relevance,research_impact
Memory-induced mechanism for self-sustaining activity in networks,"  We study a mechanism of activity sustaining on networks inspired by a
well-known model of neuronal dynamics. Our primary focus is the emergence of
self-sustaining collective activity patterns, where no single node can stay
active by itself, but the activity provided initially is sustained within the
collective of interacting agents. In contrast to existing models of
self-sustaining activity that are caused by (long) loops present in the
network, here we focus on tree--like structures and examine activation
mechanisms that are due to temporal memory of the nodes. This approach is
motivated by applications in social media, where long network loops are rare or
absent. Our results suggest that under a weak behavioral noise, the nodes
robustly split into several clusters, with partial synchronization of nodes
within each cluster. We also study the randomly-weighted version of the models
where the nodes are allowed to change their connection strength (this can model
attention redistribution), and show that it does facilitate the self-sustained
activity.
","['This research aims to understand how self-sustaining activity can emerge in networks without long loops, particularly relevant to social media applications.']","['The paper studies self-sustaining activity patterns on networks, focusing on tree-like structures rather than loops', 'It examines how temporal memory of nodes can lead to sustained collective activity', 'The research finds that nodes form clusters with partial synchronization and that randomly-weighted connections facilitate self-sustained activity.']","['Network Science', 'Complex Systems', 'Social Media Analysis', 'Neurodynamics']",20 - 50,8,7,5,6
"Toward Architectural Knowledge Sustainability. New Opportunities to
  Extend the Longevity of Systems","  Complex software systems must be maintained for years or decades, and the
effort and cost to maintain them are often high, involving continuous
refactoring to ensure their longevity in the face of changing requirements. In
this article, we introduce the notion of architectural knowledge (AK)
sustainability as a new concept to support architects dealing with the
evolution of long-lived systems. Architecture sustainability refers to the
ability of the architecture to endure over time with the minimum number of
refactoring cycles possible. We suggest that sustainability of the AK is a
function of how stable the decisions are, and we discuss a set of
sustainability criteria and metrics useful to estimate the sustainability of
this AK.
",['This research aims to address the challenge of maintaining complex software systems over long periods by introducing methods to assess and improve the sustainability of architectural knowledge.'],"['The paper introduces architectural knowledge sustainability for long-lived software systems', 'It defines architecture sustainability as the ability to endure with minimal refactoring', 'The authors propose sustainability criteria and metrics to estimate architectural knowledge sustainability.']","['Software Engineering', 'Software Architecture', 'Software Maintenance', 'Knowledge Management']",50 - 100,6,7,5,7
"Sustainability of environment-assisted energy transfer in quantum
  photobiological complexes","  It is shown that quantum sustainability is a universal phenomenon which
emerges during environment-assisted electronic excitation energy transfer (EET)
in photobiological complexes (PBCs), such as photosynthetic reaction centers
and centers of melanogenesis. We demonstrate that quantum photobiological
systems must be sustainable for them to simultaneously endure continuous energy
transfer and keep their internal structure from destruction or critical
instability. These quantum effects occur due to the interaction of PBCs with
their environment which can be described by means of the reduced density
operator and effective non-Hermitian Hamiltonian (NH). Sustainable NH models of
EET predict the coherence beats, followed by the decrease of coherence down to
a small, yet non-zero value. This indicates that in sustainable PBCs, quantum
effects survive on a much larger time scale than the energy relaxation of an
exciton. We show that sustainable evolution significantly lowers the entropy of
PBCs and improves the speed and capacity of EET.
",[],[],[],50 - 150,9,8,4,7
"Automated Sustainability Compliance Checking Using Process Mining and
  Formal Logic","  Business processes need to have certain constraints such that they can lead
to sustainable outcomes. These constraints can be manifold and their adherence
has to be monitored. In the past compliance checking has been applied in
several business domains without considering certain sustainability aspects,
such as multi-dimensionality and impact level. With my research I want to
contribute to the application of compliance checking techniques for the purpose
of sustainability compliance. In order to achieve this, I want to analyse and
develop data-driven approaches, which allow to automate the task of compliance
checking. The way in which this can be achieved, is be combining methods from
process mining with formal languages that can express sustainability rules in a
machine-readable manner. The main goal is to develop a compliance engine that
can be adapted by ERP systems in order to evaluate sustainability conformance
in business processes.
",['This research is trying to solve the problem of automating sustainability compliance checking in business processes.'],"['The research aims to develop data-driven approaches for sustainability compliance checking in business processes', 'It proposes combining process mining with formal languages to express sustainability rules', 'The goal is to create a compliance engine for ERP systems to evaluate sustainability conformance.']","['Business Process Management', 'Sustainability', 'Compliance Checking', 'Process Mining']",30 - 80,8,7,6,7
IoT Applications in Urban Sustainability,"  Internet of Things is one of the driving technologies behind the concept of
Smart Cities and is capable of playing a significant role in facilitating urban
sustainable development. This chapter explores the relationship between three
core concepts namely Smart Cities, Internet of Things and Sustainability;
thereby identifying the challenges and opportunities that exist in the
synergistic use of Internet of Things for sustainability, in the Smart Cities
context. Moreover, this chapter also presents some of the existing use cases
that apply Internet of Things for urban sustainable development, also
presenting the vision for these applications as they continue to evolve in and
adapt to the real world scenario. It is because of the interdisciplinary nature
of these applications that a clear comprehension of the associated challenges
becomes quintessential. Study of challenges and opportunities in this area
shall facilitate collaboration between different sectors of urban planning and
optimize the utilization of Internet of Things for sustainability.
",['This research aims to address the challenges in effectively integrating IoT technologies into Smart Cities to promote urban sustainable development.'],"['This chapter explores the relationship between Smart Cities, Internet of Things (IoT), and Sustainability', 'It examines challenges and opportunities in using IoT for urban sustainable development', 'The study aims to facilitate collaboration between urban planning sectors and optimize IoT utilization for sustainability.']","['Urban Planning', 'Internet of Things', 'Sustainability', 'Smart Cities']",50 - 100,4,6,8,7
PDE Models and Riemann-Stieltjes Integrals in Sustainability,"  Understanding sustainability through modeling involves one of the complex and
interdisciplinary activities where mathematics plays a key role. We provide
arguments favoring the need for developing global models for measuring the
status of sustainability. A global model (applicable in broader perspective)
and global sustainability indices are proposed which can be used with
real-world data. The solutions of the proposed Partial Differential Equations
(PDEs) are blended with the weight functions of Riemann Stieltjes integrals to
capture the differential importance of sustainability associated factors. The
ideas, methods, and models are new and are prepared for handling
multi-dimensional and multi-variate data. A practically adaptable formula for
measuring the sustainability index is developed with few key variables. We
provide a real-world example arising in civil engineering applications with a
numerical example to demonstrate our models.
",['This research aims to develop more comprehensive and adaptable models for measuring and understanding sustainability across various domains.'],"['The paper proposes new global models and sustainability indices for measuring sustainability', 'It uses PDEs and Riemann Stieltjes integrals to capture the importance of various factors', 'The model is demonstrated with a real-world civil engineering example.']","['Sustainability Science', 'Applied Mathematics', 'Environmental Modeling', 'Interdisciplinary Studies']",30 - 50,7,8,6,7
"Mandatory Disclosure of Standardized Sustainability Metrics: The Case of
  the EU Taxonomy Regulation","  Sustainability reporting enables investors to make informed decisions and is
hoped to facilitate the transition to a green economy. The European Union's
taxonomy regulation enacts rules to discern sustainable activities and
determine the resulting green revenue, whose disclosure is mandatory for many
companies. In an experiment, we explore how this standardized metric is
received by investors relative to a sustainability rating. We find that green
revenue affects the investment probability more than the rating if the two
metrics disagree. If they agree, a strong rating has an incremental effect on
the investment probability. The effects are robust to variation in investors'
attitudes. Our findings imply that a mandatory standardized sustainability
metric is an effective means of channeling investment, which complements rather
than substitutes sustainability ratings.
",['This research aims to understand how standardized sustainability metrics like green revenue influence investor decision-making compared to traditional sustainability ratings'],"[""The EU's taxonomy regulation mandates disclosure of green revenue for many companies"", 'An experiment explored how investors perceive this metric compared to sustainability ratings', 'Results show green revenue has a stronger effect on investment decisions, but ratings provide complementary information']","['Sustainable Finance', 'Investor Behavior', 'Environmental Economics', 'Corporate Disclosure']",50 - 100,6,7,8,7
"Beyond Learning from Next Item: Sequential Recommendation via
  Personalized Interest Sustainability","  Sequential recommender systems have shown effective suggestions by capturing
users' interest drift. There have been two groups of existing sequential
models: user- and item-centric models. The user-centric models capture
personalized interest drift based on each user's sequential consumption
history, but do not explicitly consider whether users' interest in items
sustains beyond the training time, i.e., interest sustainability. On the other
hand, the item-centric models consider whether users' general interest sustains
after the training time, but it is not personalized. In this work, we propose a
recommender system taking advantages of the models in both categories. Our
proposed model captures personalized interest sustainability, indicating
whether each user's interest in items will sustain beyond the training time or
not. We first formulate a task that requires to predict which items each user
will consume in the recent period of the training time based on users'
consumption history. We then propose simple yet effective schemes to augment
users' sparse consumption history. Extensive experiments show that the proposed
model outperforms 10 baseline models on 11 real-world datasets. The codes are
available at https://github.com/dmhyun/PERIS.
",['This research aims to improve sequential recommendation systems by addressing the limitations of existing user-centric and item-centric models and incorporating personalized interest sustainability.'],"['The paper proposes a sequential recommender system that combines user-centric and item-centric models', 'It introduces the concept of personalized interest sustainability to predict user interests beyond the training period', 'The model outperforms existing baselines on multiple datasets and is publicly available on GitHub.']","['Recommender Systems', 'Machine Learning', 'User Behavior Analysis', 'Information Retrieval']",50 - 150,6,7,5,7
"Building a National Smart Campus to support sustainable business
  development: An ecosystem approach","  Universities are racing towards making their campuses and cities smart in
response to the global digitalization trend. However, the sustainability impact
of Smart Campus research, development, and innovation services on other
relevant stakeholders such as the small and medium-sized businesses, remain
under-investigated. The Finnish National Smart Campus project seeks to bridge
this gap by orchestrating a SC ecosystem where eight SC collaborate to bring
trailblazing services to businesses and society. To maximize the sustainability
impact of the SC ecosystem, this study used a participatory workshop to
identify the challenges of SC, provide a step-by-step guide on how to identify
other relevant stakeholders, and ascertain the perceived sustainability impact
using one of the SC ecosystems RDIs as a case study. The preliminary results
revealed that barriers to university-industry ecosystem development include
(i), the lack of clarity in the shared goals (i.e., value proposition) between
actors and (ii), weak stakeholder involvement in university RDI processes.
Finally, this paper proposed a SC ecosystem model which offers a mindset shift
for higher educational institutions in promoting the convergence of SC services
and sustainability to support the sustainable development of Finnish-based
SMEs.
",['This research aims to address the gap in understanding and maximizing the sustainability impact of Smart Campus ecosystems on small and medium-sized businesses and society.'],"['The paper examines the sustainability impact of Smart Campus (SC) ecosystems on stakeholders like SMEs', 'It identifies challenges in SC development and provides guidance on stakeholder identification', 'The study proposes a SC ecosystem model to promote sustainability in Finnish SMEs.']","['Smart Cities and Campuses', 'Sustainability', 'Higher Education Innovation', 'Business Ecosystem Development']",30 - 60,6,7,8,7
AI Governance and Ethics Framework for Sustainable AI and Sustainability,"  AI is transforming the existing technology landscape at a rapid phase
enabling data-informed decision making and autonomous decision making. Unlike
any other technology, because of the decision-making ability of AI, ethics and
governance became a key concern. There are many emerging AI risks for humanity,
such as autonomous weapons, automation-spurred job loss, socio-economic
inequality, bias caused by data and algorithms, privacy violations and
deepfakes. Social diversity, equity and inclusion are considered key success
factors of AI to mitigate risks, create values and drive social justice.
Sustainability became a broad and complex topic entangled with AI. Many
organizations (government, corporate, not-for-profits, charities and NGOs) have
diversified strategies driving AI for business optimization and
social-and-environmental justice. Partnerships and collaborations become
important more than ever for equity and inclusion of diversified and
distributed people, data and capabilities. Therefore, in our journey towards an
AI-enabled sustainable future, we need to address AI ethics and governance as a
priority. These AI ethics and governance should be underpinned by human ethics.
","[""This research aims to address the ethical and governance challenges posed by AI's rapid advancement and its impact on society and sustainability.""]","['AI is rapidly transforming technology and decision-making, raising ethical concerns and risks', 'Social diversity, equity and inclusion are key to mitigating AI risks and driving social justice', 'AI ethics and governance underpinned by human ethics are crucial for a sustainable AI-enabled future.']","['AI Ethics', 'Technology Governance', 'Sustainable Development', 'Social Impact of Technology']",50 - 150,4,6,8,7
Personalizing Sustainable Agriculture with Causal Machine Learning,"  To fight climate change and accommodate the increasing population, global
crop production has to be strengthened. To achieve the ""sustainable
intensification"" of agriculture, transforming it from carbon emitter to carbon
sink is a priority, and understanding the environmental impact of agricultural
management practices is a fundamental prerequisite to that. At the same time,
the global agricultural landscape is deeply heterogeneous, with differences in
climate, soil, and land use inducing variations in how agricultural systems
respond to farmer actions. The ""personalization"" of sustainable agriculture
with the provision of locally adapted management advice is thus a necessary
condition for the efficient uplift of green metrics, and an integral
development in imminent policies. Here, we formulate personalized sustainable
agriculture as a Conditional Average Treatment Effect estimation task and use
Causal Machine Learning for tackling it. Leveraging climate data, land use
information and employing Double Machine Learning, we estimate the
heterogeneous effect of sustainable practices on the field-level Soil Organic
Carbon content in Lithuania. We thus provide a data-driven perspective for
targeting sustainable practices and effectively expanding the global carbon
sink.
",['This research aims to address the challenge of optimizing sustainable agricultural practices for specific local conditions to enhance crop production and mitigate climate change.'],"['The paper proposes using causal machine learning to personalize sustainable agriculture practices', 'It aims to estimate the heterogeneous effects of sustainable practices on soil organic carbon content in Lithuania', 'The research provides a data-driven approach to targeting sustainable practices and expanding the global carbon sink.']","['Agricultural Science', 'Environmental Science', 'Machine Learning', 'Climate Change Mitigation']",30 - 80,6,7,8,7
"Self-Reflection as a Tool to Foster Profound Sustainable Consumption
  Decisions","  The production of goods we buy on a daily basis accounts for a large portion
of greenhouse gas emissions. Although consumers have the power to influence
industries' behavior through their demand, making sustainable purchases is
challenging. Current ICT systems supporting sustainable shopping decisions are
not established in consumers' daily lifes. Shopping decisions are made on a
complex set of criteria, thus classical persuasive approaches, like
recommender-systems, might not be suitable. This work compiles the state of
research on ICT supporting sustainable consumption, outlines unsolved
challenges, and finally presents a novel concept: a system based on
self-reflection instead of classical persuasive approaches, like
recommender-systems. Self-reflection provokes revising individual behaviour and
decisions, instead of presenting instructions. Combined with additional
information on e.g., decision impact, people could learn how to make more
sustainable decisions independently. We envision the deployment of such a
system, fostering a change towards more sustainable industries to combat
climate change.
",['This research aims to address the challenge of promoting sustainable consumer behavior in daily shopping decisions.'],"['Current ICT systems for sustainable shopping are not widely adopted', 'This paper proposes a novel self-reflection based system instead of traditional recommender systems', 'The goal is to foster more sustainable consumer behavior and industry practices to combat climate change.']","['Sustainable Computing', 'Human-Computer Interaction', 'Consumer Behavior', 'Environmental Informatics']",30 - 80,5,7,8,7
"Economic complexity and the sustainability transition: A review of data,
  methods, and literature","  Economic Complexity (EC) methods have gained increasing popularity across
fields and disciplines. In particular, the EC toolbox has proved particularly
promising in the study of complex and interrelated phenomena, such as the
transition towards a greener economy. Using the EC approach, scholars have been
investigating the relationship between EC and sustainability, proposing to
identify the distinguishing characteristics of green products and to assess the
readiness of productive and technological structures for the sustainability
transition. This article proposes to review and summarize the data, methods,
and empirical literature that are relevant to the study of the sustainability
transition from an EC perspective. We review three distinct but connected
blocks of literature on EC and environmental sustainability. First, we survey
the evidence linking measures of EC to indicators related to environmental
sustainability. Second, we review articles that strive to assess the green
competitiveness of productive systems. Third, we examine evidence on green
technological development and its connection to non-green knowledge bases.
Finally, we summarize the findings for each block and identify avenues for
further research in this recent and growing body of empirical literature.
","['This research aims to synthesize and evaluate the existing literature on Economic Complexity methods applied to sustainability transitions, providing a comprehensive overview of the field and identifying gaps for future research.']","['This paper reviews the literature on Economic Complexity (EC) methods in relation to sustainability transitions', 'It examines the links between EC and environmental indicators, green competitiveness, and green technological development', 'The review identifies key findings and areas for future research in this growing field.']","['Economic Complexity', 'Sustainability Science', 'Environmental Economics', 'Innovation Studies']",50 - 100,7,6,5,7
"Social interactions for a sustainable lifestyle: The design of an
  experimental case study","  Every day we face numerous lifestyle decisions, some dictated by habits and
some more conscious, which may or may not promote sustainable living. Aided by
digital technology, sustainable behaviors can diffuse within social groups and
inclusive communities. This paper outlines a longitudinal experimental study of
social influence in behavioral changes toward sustainability, in the context of
smart residential homes. Participants are residing in the housing on campus
referred to as KTH Live-In Lab, whose behaviors are observed w.r.t. key
lifestyle choices, such as food, resources, mobility, consumption, and
environmental citizenship. The focus is on the preparatory phase of the case
study and the challenges and limitations encountered during its setup. In
particular, this work proposes a definition of sustainability indicators for
environmentally significant behaviors, and hypothesizes that, through
digitalization of a household into a social network of interacting tenants,
sustainable living can be promoted. Preliminary results confirm the feasibility
of the proposed experimental methodology.
",['This research aims to understand how social influence and digital technology can promote sustainable living behaviors in residential settings.'],"['The paper describes a longitudinal study on social influence in sustainable behavior changes in smart homes', 'It focuses on the preparatory phase and challenges in setting up the study', 'The research proposes sustainability indicators and hypothesizes that digitalization can promote sustainable living.']","['Sustainable Living', 'Smart Homes', 'Behavioral Science', 'Environmental Psychology']",30 - 80,6,7,8,7
"A general Framework for Utilizing Metaheuristic Optimization for
  Sustainable Unrelated Parallel Machine Scheduling: A concise overview","  Sustainable development has emerged as a global priority, and industries are
increasingly striving to align their operations with sustainable practices.
Parallel machine scheduling (PMS) is a critical aspect of production planning
that directly impacts resource utilization and operational efficiency. In this
paper, we investigate the application of metaheuristic optimization algorithms
to address the unrelated parallel machine scheduling problem (UPMSP) through
the lens of sustainable development goals (SDGs). The primary objective of this
study is to explore how metaheuristic optimization algorithms can contribute to
achieving sustainable development goals in the context of UPMSP. We examine a
range of metaheuristic algorithms, including genetic algorithms, particle swarm
optimization, ant colony optimization, and more, and assess their effectiveness
in optimizing the scheduling problem. The algorithms are evaluated based on
their ability to improve resource utilization, minimize energy consumption,
reduce environmental impact, and promote socially responsible production
practices. To conduct a comprehensive analysis, we consider UPMSP instances
that incorporate sustainability-related constraints and objectives.
",['This research aims to optimize parallel machine scheduling while addressing sustainable development goals in industrial operations.'],"['This paper explores metaheuristic optimization algorithms for unrelated parallel machine scheduling problems (UPMSP) in the context of sustainable development goals', 'It evaluates various algorithms based on their ability to improve resource utilization, minimize energy consumption, reduce environmental impact, and promote socially responsible production', 'The study considers UPMSP instances with sustainability-related constraints and objectives.']","['Operations Research', 'Sustainable Manufacturing', 'Metaheuristic Optimization', 'Production Planning']",30 - 60,8,7,6,7
"Toward Responsible AI Use: Considerations for Sustainability Impact
  Assessment","  As AI/ML models, including Large Language Models, continue to scale with
massive datasets, so does their consumption of undeniably limited natural
resources, and impact on society. In this collaboration between AI,
Sustainability, HCI and legal researchers, we aim to enable a transition to
sustainable AI development by enabling stakeholders across the AI value chain
to assess and quantitfy the environmental and societal impact of AI. We present
the ESG Digital and Green Index (DGI), which offers a dashboard for assessing a
company's performance in achieving sustainability targets. This includes
monitoring the efficiency and sustainable use of limited natural resources
related to AI technologies (water, electricity, etc). It also addresses the
societal and governance challenges related to AI. The DGI creates incentives
for companies to align their pathway with the Sustainable Development Goals
(SDGs). The value, challenges and limitations of our methodology and findings
are discussed in the paper.
",['This research aims to address the growing environmental and societal impact of large-scale AI development by providing a framework for assessment and encouraging sustainable practices.'],"['The paper introduces the ESG Digital and Green Index to assess and quantify the environmental and societal impact of AI development', 'It aims to enable sustainable AI by monitoring resource usage and addressing societal challenges', 'The index incentivizes companies to align with Sustainable Development Goals.']","['Artificial Intelligence', 'Sustainability', 'Human-Computer Interaction', 'Environmental, Social, and Governance (ESG)']",50 - 150,6,7,8,7
"How to Sustain a Scientific Open-Source Software Ecosystem: Learning
  from the Astropy Project","  Scientific open-source software (OSS) has greatly benefited research
communities through its transparent and collaborative nature. Given its
critical role in scientific research, ensuring the sustainability of such
software has become vital. Earlier studies have proposed sustainability
strategies for conventional scientific software and open-source communities.
However, it remains unclear whether these solutions can be easily adapted to
the integrated framework of scientific OSS and its larger ecosystem. This study
examines the challenges and opportunities to enhance the sustainability of
scientific OSS in the context of interdisciplinary collaboration, open-source
community, and multi-project ecosystem. We conducted a case study on a
widely-used software ecosystem in the astrophysics domain, the Astropy Project,
using a mixed-methods design approach. This approach includes an interview with
core contributors regarding their participation in an interdisciplinary team, a
survey of disengaged contributors about their motivations for contribution,
reasons for disengagement, and suggestions for sustaining the communities, and
finally, an analysis of cross-referenced issues and pull requests to understand
best practices for collaboration on the ecosystem level. Our study reveals the
implications of major challenges for sustaining scientific OSS and proposes
concrete suggestions for tackling these challenges.
",['This research aims to address the sustainability challenges of scientific open-source software in interdisciplinary collaborations and multi-project ecosystems.'],"['The study examines sustainability challenges for scientific open-source software', 'It uses a mixed-methods approach to analyze the Astropy Project ecosystem', 'The research reveals implications of major challenges and proposes suggestions for sustainability.']","['Software Engineering', 'Open Source Software', 'Scientific Computing', 'Sustainability Science']",50 - 100,6,7,5,8
Multicriteria Analysis Model in Sustainable Corn Farming Area Planning,"  This study aims to develop a framework for multicriteria analysis to evaluate
alternatives for sustainable corn agricultural area planning, considering the
integration of ecological, economic, and social aspects as pillars of
sustainability. The research method uses qualitative and quantitative
approaches to integrate ecological, economic, and social aspects in the
multicriteria analysis. The analysis involves land evaluation, subcriteria
identification, and data integration using Multidimensional Scaling and
Analytical Hierarchy Process methods to prioritize developing sustainable corn
agricultural areas. Based on the results of the RAP-Corn analysis, it indicates
that the ecological dimension depicts less sustainability. The AHP results
yield weight distribution and highly relevant scores that describe tangible
preferences. Priority directions are grouped as strategic steps toward
achieving the goals of sustainable corn agricultural area planning.
","['This research aims to create a comprehensive framework for evaluating and planning sustainable corn agricultural areas by considering multiple criteria across ecological, economic, and social dimensions.']","['This study develops a framework for multicriteria analysis to evaluate sustainable corn agricultural area planning', 'The method integrates ecological, economic, and social aspects using qualitative and quantitative approaches', 'Results indicate ecological dimension needs improvement and priority directions are grouped as strategic steps for sustainable planning.']","['Agricultural sustainability', 'Multicriteria decision analysis', 'Land use planning', 'Environmental management']",15 - 30,7,6,5,6
"SOPA: A Framework for Sustainability-Oriented Process Analysis and
  Re-design in Business Process Management","  Given the continuous global degradation of the Earth's ecosystem due to
unsustainable human activity, it is increasingly important for enterprises to
evaluate the effects they have on the environment. Consequently, assessing the
impact of business processes on sustainability is becoming an important
consideration in the discipline of Business Process Management (BPM). However,
existing practical approaches that aim at a sustainability-oriented analysis of
business processes provide only a limited perspective on the environmental
impact caused. Further, they provide no clear and practically applicable
mechanism for sustainability-driven process analysis and re-design. Following a
design science methodology, we here propose and study SOPA, a framework for
sustainability-oriented process analysis and re-design. SOPA extends the BPM
life cycle by use of Life Cycle Assessment (LCA) for sustainability analysis in
combination with Activity-based Costing (ABC). We evaluate SOPA and its
usefulness with a case study, by means of an implementation to support the
approach, thereby also illustrating the practical applicability of this work.
",['This research aims to address the lack of comprehensive and practical approaches for assessing and improving the environmental impact of business processes.'],"['The paper proposes SOPA, a framework for sustainability-oriented process analysis and re-design in business processes', 'SOPA combines Life Cycle Assessment and Activity-based Costing within the BPM life cycle', 'The framework is evaluated through a case study and implementation to demonstrate its practical applicability.']","['Business Process Management', 'Sustainability', 'Environmental Impact Assessment', 'Design Science Research']",50 - 100,6,7,8,7
"The Sustainability Assessment Framework Toolkit: A Decade of Modeling
  Experience","  Software intensive systems play a crucial role in most, if not all, aspects
of modern society. As such, both their sustainability and their role in
supporting sustainable processes, must be realized by design. To this aim, the
architecture of software intensive systems should be designed to support
sustainability goals; and measured to understand how effectively they do so. In
this paper, we present the Sustainability Assessment Framework (SAF) Toolkit --
a set of instruments that support architects and design decision makers in
modeling sustainability as a software quality property. The SAF Toolkit is the
result of our experience gained in over a decade of cases in collaboration with
industrial partners. We illustrate the toolkit with examples stemming from
various cases. We extract our lessons learned, and our current research and
future plans to extend the SAF Toolkit for further architecture modeling and
measurement.
",['This research aims to address the challenge of designing and measuring software architectures that effectively support sustainability goals in modern software-intensive systems.'],"['The paper introduces the Sustainability Assessment Framework (SAF) Toolkit for designing sustainable software architectures', 'The toolkit is based on over a decade of industrial collaboration and helps model sustainability as a software quality property', 'The authors present examples, lessons learned, and future plans for extending the toolkit.']","['Software Engineering', 'Sustainability', 'Software Architecture', 'Quality Assurance']",50 - 100,6,7,8,7
Through energy droughts: hydropower's ability to sustain a high output,"  Previous research has raised concerns about energy droughts in
renewables-based energy systems. This study explores the ability of reservoir
hydropower to sustain a high output and, thereby, mitigate such energy
droughts. Using detailed modelling, we estimate that Swedish hydropower can
sustain 67-92% of its installed capacity for 3 weeks, with higher values
possible in springtime. The variation of the sustained output, equivalent to
the capacity of 3-4 Swedish nuclear reactors, under-scores the importance of
understanding the potential output levels when devising strategies to
counteract energy droughts. Moreover, we find that regulations imposed on the
flows in river bottlenecks hinder higher sustained output levels. With the
upcoming renewal of environmental permits for hydropower plants in Sweden,
these findings provide valuable insights for policymakers. Furthermore, the
sustained output capabilities demonstrated in this study challenge the
prevalent simplified representations of hydropower in energy models, suggesting
a need for more-sophisticated modelling approaches.
",['This research aims to address concerns about energy droughts in renewable-based systems by exploring the capability of reservoir hydropower to maintain high output levels during such periods.'],"['This study examines the potential of Swedish hydropower to mitigate energy droughts in renewable-based systems', 'It finds that hydropower can sustain 67-92% of its capacity for 3 weeks, with higher outputs possible in spring', 'The research highlights the importance of understanding sustained output levels and challenges simplified hydropower representations in energy models.']","['Renewable Energy', 'Energy Systems Modeling', 'Hydropower Engineering', 'Environmental Policy']",30 - 60,6,7,8,7
"Mining for sustainability in cloud architecture among the discussions of
  software practitioners: building a dataset","  The adoption of cloud computing is steadily increasing in designing and
implementing software systems, thus it becomes imperative to consider the
sustainability implications of these processes. While there has already been
some academic research on this topic, there is a lack of perspective from
practitioners. To bridge this gap, we utilize software repository mining
techniques to examine 192 discussions among practitioners on the Software
Engineering forum of the StackExchange platform, aiming to build an annotated
dataset containing cloud architectural discussions and to understand the
current discussion on sustainability in cloud architecture. To identify these
discussions, we first put together a list of terms indicating sustainability as
the topic. Our initial findings indicate practitioners mainly focus on design
aspects (analysis, synthesis, and implementation) while avoiding complex
activities like evaluation and maintenance. Technical sustainability is
emphasized, while the economic dimension has the most discussions exclusively
focused on it. This contrasts with previous academic literature, which
highlighted environmental sustainability.
","[""This research aims to bridge the gap between academic research and practitioners' perspectives on sustainability in cloud computing architecture.""]","[""The study examines practitioners' discussions on cloud architecture sustainability using software repository mining"", 'It finds that practitioners focus on design aspects and technical sustainability, with economic sustainability also prominent', ""This contrasts with academic literature's emphasis on environmental sustainability.""]","['Software Engineering', 'Cloud Computing', 'Sustainability', 'Data Mining']",20 - 50,6,7,5,6
"Online Learning of Temporal Dependencies for Sustainable Foraging
  Problem","  The sustainable foraging problem is a dynamic environment testbed for
exploring the forms of agent cognition in dealing with social dilemmas in a
multi-agent setting. The agents need to resist the temptation of individual
rewards through foraging and choose the collective long-term goal of
sustainability. We investigate methods of online learning in Neuro-Evolution
and Deep Recurrent Q-Networks to enable agents to attempt the problem one-shot
as is often required by wicked social problems. We further explore if learning
temporal dependencies with Long Short-Term Memory may be able to aid the agents
in developing sustainable foraging strategies in the long term. It was found
that the integration of Long Short-Term Memory assisted agents in developing
sustainable strategies for a single agent, however failed to assist agents in
managing the social dilemma that arises in the multi-agent scenario.
",['This research aims to develop effective learning methods for agents to balance individual rewards and collective sustainability in dynamic multi-agent environments.'],"['The paper explores online learning methods for sustainable foraging in multi-agent settings', 'It investigates Neuro-Evolution and Deep Recurrent Q-Networks for one-shot learning and examines the potential of Long Short-Term Memory for developing sustainable strategies', 'The study finds that LSTM aids single-agent sustainability but fails in multi-agent social dilemmas.']","['Multi-agent Systems', 'Reinforcement Learning', 'Evolutionary Computation', 'Sustainable Resource Management']",15 - 30,8,7,5,6
"Sustaining Security and Safety in ICT: A Quest for Terminology,
  Objectives, and Limits","  Security and safety are intertwined concepts in the world of computing. In
recent years, the terms ""sustainable security"" and ""sustainable safety"" came
into fashion and are being used referring to a variety of systems properties
ranging from efficiency to profitability, and sometimes meaning that a product
or service is good for people and planet. This leads to confusing perceptions
of products where customers might expect a sustainable product to be developed
without child labour, while the producer uses the term to signify that their
new product uses marginally less power than the previous generation of that
products. Even in research on sustainably safe and secure ICT, these different
notions of terminology are prevalent. As researchers we often work towards
optimising our subject of study towards one specific sustainability metric -
let's say energy consumption - while being blissfully unaware of, e.g., social
impacts, life-cycle impacts, or rebound effects of such optimisations.
  In this paper I dissect the idea of sustainable safety and security, starting
from the questions of what we want to sustain, and for whom we want to sustain
it. I believe that a general ""people and planet"" answer is inadequate here
because this form of sustainability cannot be the property of a single industry
sector but must be addressed by society as a whole. However, with sufficient
understanding of life-cycle impacts we may very well be able to devise research
and development efforts, and inform decision making processes towards the use
of integrated safety and security solutions that help us to address societal
challenges in the context of the climate and ecological crises, and that are
aligned with concepts such as intersectionality and climate justice. Of course,
these solutions can only be effective if they are embedded in societal and
economic change towards more frugal uses of data and ICT.
",['This research aims to clarify and redefine the concept of sustainable security and safety in computing to better align with broader societal and environmental goals.'],"['The paper examines the concepts of sustainable security and safety in computing', 'It critiques the varied and often confusing uses of these terms', 'The author proposes a more holistic approach to sustainability in ICT that considers societal and environmental impacts.']","['Sustainable Computing', 'Cybersecurity', 'Environmental Informatics', 'Science and Technology Studies']",30 - 80,6,7,8,7
